26,Newport High School
17,Issaquah High School
15,Redmond High School
13,Bellevue High School
12,Woodinville High School
11,Bothell High School
11,Inglemoor High School
10,Eastlake High School
7,Interlake High School
7,Garfield High School
7,North Creek High School
6,Lake Washington High School
6,Sammamish High School
6,Tesla STEM High School
5,Grover Cleveland High School
4,Liberty Senior High School
4,Skyline High School
4,University Preparatory Academy
4,Juanita High School
3,Lincoln High School
2,Ballard High School
2,International School
2,Roosevelt High School
2,Puyallup High School
1,Meadowdale High School
1,Bainbridge High School
1,Shorecrest High School
1,Camas High School
1,Federal Way High School
1,Auburn High School
1,Highline big picture high school
1,Timberline High School
1,Ingraham High School
1,Lakeside School
1,Homeschool
1,Cleveland STEM High School
1,West Seattle High School
1,Nathan Hale High School
